Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arecanut,2011,Kharif     ,Puducherry,60,77,1434.5875,10051.2,19.8,1.28
Bajra,2011,Kharif     ,Puducherry,11,29,1434.5875,1842.72,3.63,2.64
Bajra,2011,Summer     ,Puducherry,20,51,1434.5875,3350.4,6.6,2.55
Banana,2011,Kharif     ,Puducherry,266,3263,1434.5875,44560.32,87.78,10.90333333
Black pepper,2011,Kharif     ,Puducherry,11,5,1434.5875,1842.72,3.63,0.45
Cashewnut,2011,Kharif     ,Puducherry,159,50,1434.5875,26635.68,52.47,0.466666667
Coconut ,2011,Whole Year ,Puducherry,2095,17313000,1434.5875,350954.4,691.35,9838.6475
Cotton(lint),2011,Summer     ,Puducherry,8,8,1434.5875,1340.16,2.64,1
Dry chillies,2011,Kharif     ,Puducherry,1,2,1434.5875,167.52,0.33,2
Dry chillies,2011,Summer     ,Puducherry,1,2,1434.5875,167.52,0.33,2
Groundnut,2011,Kharif     ,Puducherry,16,30,1434.5875,2680.32,5.28,1.88
Groundnut,2011,Rabi       ,Puducherry,282,389,1434.5875,47240.64,93.06,1.195
Groundnut,2011,Summer     ,Puducherry,21,38,1434.5875,3517.92,6.93,1.47
Jowar,2011,Summer     ,Puducherry,1,2,1434.5875,167.52,0.33,2
Moong(Green Gram),2011,Kharif     ,Puducherry,1,1,1434.5875,167.52,0.33,1
Moong(Green Gram),2011,Rabi       ,Puducherry,3,1,1434.5875,502.56,0.99,0.25
Moong(Green Gram),2011,Summer     ,Puducherry,1310,481,1434.5875,219451.2,432.3,0.495
Onion,2011,Rabi       ,Puducherry,1,7,1434.5875,167.52,0.33,7
Other  Rabi pulses,2011,Rabi       ,Puducherry,20,20,1434.5875,3350.4,6.6,1
Other Kharif pulses,2011,Kharif     ,Puducherry,1,1,1434.5875,167.52,0.33,1
Other Kharif pulses,2011,Rabi       ,Puducherry,20,20,1434.5875,3350.4,6.6,1
Ragi,2011,Kharif     ,Puducherry,12,33,1434.5875,2010.24,3.96,2.75
Ragi,2011,Summer     ,Puducherry,10,25,1434.5875,1675.2,3.3,2.5
Rice,2011,Kharif     ,Puducherry,4237,12794,1434.5875,709782.24,1398.21,3.046666667
Rice,2011,Rabi       ,Puducherry,10324,23489,1434.5875,1729476.48,3406.92,2.856666667
Rice,2011,Summer     ,Puducherry,2015,5831,1434.5875,337552.8,664.95,2.49
Sesamum,2011,Kharif     ,Puducherry,3,2,1434.5875,502.56,0.99,0.67
Sesamum,2011,Rabi       ,Puducherry,6,4,1434.5875,1005.12,1.98,0.67
Sesamum,2011,Summer     ,Puducherry,113,92,1434.5875,18929.76,37.29,0.58
Sugarcane,2011,Kharif     ,Puducherry,1949,287785,1434.5875,326496.48,643.17,147.66
Tapioca,2011,Kharif     ,Puducherry,245,6064,1434.5875,41042.4,80.85,18.725
Tapioca,2011,Rabi       ,Puducherry,1,24,1434.5875,167.52,0.33,24
Turmeric,2011,Kharif     ,Puducherry,2,3,1434.5875,335.04,0.66,1.5
Turmeric,2011,Rabi       ,Puducherry,4,6,1434.5875,670.08,1.32,1.5
Urad,2011,Kharif     ,Puducherry,15,12,1434.5875,2512.8,4.95,0.8
Urad,2011,Rabi       ,Puducherry,224,242,1434.5875,37524.48,73.92,0.83
Urad,2011,Summer     ,Puducherry,832,317,1434.5875,139376.64,274.56,0.563333333
Arecanut,2011,Rabi       ,Assam,68699,60075,1743.4,11508456.48,22670.67,0.878148148
Arhar/Tur,2011,Kharif     ,Assam,5697,4467,1743.4,954361.44,1880.01,0.774074074
Banana,2011,Whole Year ,Assam,47563,729102,1743.4,7967753.76,15695.79,14.98222222
Black pepper,2011,Whole Year ,Assam,3647,5198,1743.4,610945.44,1203.51,1.597777778
Castor seed,2011,Kharif     ,Assam,1024,538,1743.4,171540.48,337.92,0.515833333
Coconut ,2011,Whole Year ,Assam,20710,175613000,1743.4,3469339.2,6834.3,7299.402593
Cotton(lint),2011,Kharif     ,Assam,1230,581,1743.4,206049.6,405.9,0.595652174
Dry chillies,2011,Whole Year ,Assam,19526,12871,1743.4,3270995.52,6443.58,0.655185185
Ginger,2011,Whole Year ,Assam,16338,121369,1743.4,2736941.76,5391.54,7.513333333
Gram,2011,Rabi       ,Assam,1823,955,1743.4,305388.96,601.59,0.5328
Jute,2011,Kharif     ,Assam,65560,608023,1743.4,10982611.2,21634.8,9.125555556
Linseed,2011,Rabi       ,Assam,7037,3981,1743.4,1178838.24,2322.21,0.536086957
Maize,2011,Kharif     ,Assam,21297,17075,1743.4,3567673.44,7028.01,0.693333333
Masoor,2011,Rabi       ,Assam,22544,11798,1743.4,3776570.88,7439.52,0.526
Mesta,2011,Kharif     ,Assam,4877,27718,1743.4,816995.04,1609.41,5.8716
Moong(Green Gram),2011,Rabi       ,Assam,11512,6347,1743.4,1928490.24,3798.96,0.524074074
